Institute,Deadline,Website

CERN Summer Student Programme,"Jan 31, 2022",https://bit.ly/3s3oag2
ICTS Bangalore,"Jan 31, 2022",https://bit.ly/3qZ4xXk
IIT Kanpur,"Feb 2, 2022",https://bit.ly/3rTPCwz
IISC Bangalore ,"Jan 15, 2022",https://bit.ly/32FUmgS
Open Quantum Initiative,"Feb 11, 2022",https://bit.ly/3g959TO
"Racah Institute of Physics, Israel","Feb 15, 2022",https://bit.ly/3IPFfRg
"NCRA, Pune","Feb 21, 2022",https://bit.ly/3G1ylXw
